V_TEMP;0;Temperature
V_HUM;1;Humidity
V_STATUS;2;Binary status. 0=off 1=on
V_LIGHT;2;Deprecated. Alias for V_STATUS. Light status. 0=off 1=on
V_PERCENTAGE;3;Percentage value. 0-100 (%)
V_DIMMER;3;Deprecated. Alias for V_PERCENTAGE. Dimmer value. 0-100 (%)
V_PRESSURE;4;Atmospheric Pressure
V_FORECAST;5;"Whether forecast. One of ""stable"", ""sunny"", ""cloudy"", ""unstable"", ""thunderstorm"" or ""unknown"""
V_RAIN;6;Amount of rain
V_RAINRATE;7;Rate of rain
V_WIND;8;Windspeed
V_GUST;9;Gust
V_DIRECTION;10;Wind direction
V_UV;11;UV light level
V_WEIGHT;12;Weight (for scales etc)
V_DISTANCE;13;Distance
V_IMPEDANCE;14;Impedance value
V_ARMED;15;Armed status of a security sensor. 1=Armed, 0=Bypassed
V_TRIPPED;16;Tripped status of a security sensor. 1=Tripped, 0=Untripped
V_WATT;17;Watt value for power meters
V_KWH;18;Accumulated number of KWH for a power meter
V_SCENE_ON;19;Turn on a scene
V_SCENE_OFF;20;Turn of a scene
V_HVAC_FLOW_STATE;21;"Mode of header. One of ""Off"", ""HeatOn"", ""CoolOn"", or ""AutoChangeOver"""
V_HVAC_SPEED;22;"HVAC/Heater fan speed (""Min"", ""Normal"", ""Max"", ""Auto"")"
V_LIGHT_LEVEL;23;Uncalibrated light level. 0-100%. Use V_LEVEL for light level in lux.
V_VAR1;24;Custom value
V_VAR2;25;Custom value
V_VAR3;26;Custom value
V_VAR4;27;Custom value
V_VAR5;28;Custom value
V_UP;29;Window covering. Up.
V_DOWN;30;Window covering. Down.
V_STOP;31;Window covering. Stop.
V_IR_SEND;32;Send out an IR-command
V_IR_RECEIVE;33;This message contains a received IR-command
V_FLOW;34;Flow of water (in meter)
V_VOLUME;35;Water volume
V_LOCK_STATUS;36;Set or get lock status. 1=Locked, 0=Unlocked
V_LEVEL;37;Used for sending level-value
V_VOLTAGE;38;Voltage level
V_CURRENT;39;Current level
V_RGB;40;"RGB value transmitted as ASCII hex string (I.e ""ff0000"" for red)"
V_RGBW;41;"RGBW value transmitted as ASCII hex string (I.e ""ff0000ff"" for red + full white)"
V_ID;42;Optional unique sensor id (e.g. OneWire DS1820b ids)
V_UNIT_PREFIX;43;Allows sensors to send in a string representing the unit prefix to be displayed in GUI. This is not parsed by controller! E.g. cm, m, km, inch.
V_HVAC_SETPOINT_COOL;44;HVAC cold setpoint
V_HVAC_SETPOINT_HEAT;45;HVAC/Heater setpoint
V_HVAC_FLOW_MODE;46;"Flow mode for HVAC (""Auto"", ""ContinuousOn"", ""PeriodicOn"")"
